,Node ID,Eastings,Northings,wgsLong,wgsLat
403,992047,838621.8751933808,828403.988352064,114.199733336,22.39489379
404,993005,838574.5968035068,828292.4425451588,114.199274045,22.393886539
405,992049,837967.6534981029,827739.9205154683,114.193379349,22.388897691
406,992050,837953.2086487636,827726.08771649,114.193239064,22.388772788
407,992052,837617.542189463,827331.1934977099,114.189979147,22.385206986
408,992053,837606.0718292706,827314.8096386697,114.18986775,22.385059041
409,993006,837418.8698518351,827055.2263953164,114.188049734,22.382715004
410,992055,837284.5187884197,826868.7598183956,114.186745018,22.381031198
411,992056,837274.0175487595,826851.738538608,114.186643038,22.380877494
412,993007,837237.9164986666,826786.9484062269,114.186292449,22.380292425
413,992058,838522.873128646,828072.482611157,114.198771438,22.391900257
414,992059,838519.6814851407,828052.7404326592,114.198740416,22.391721979
415,992061,838811.9864461832,827196.958426347,114.201577617,22.383993415
416,992062,838806.9281288246,827177.6086608302,114.201528467,22.383818684
417,992064,838734.9602755373,826894.7220806107,114.20082919,22.381264176
418,992065,838729.0772716599,826875.6068964545,114.200772035,22.381091564
419,993011,838342.1431220248,826187.3608513381,114.197013915,22.37487685
420,992067,838092.8989939792,826104.1390062105,114.194593706,22.374125596
421,992068,838073.586414014,826098.9424448796,114.19440618,22.374078689
422,992095,837502.1186988801,825702.8392302599,114.188857061,22.370502172
423,992070,838276.09777012,826664.7013556231,114.196373229,22.379187567
424,992071,838259.213791946,826675.4219563995,114.196209297,22.379284399
425,993009,837825.349194535,827049.6909682993,114.191996787,22.382664695
426,992073,837690.6980940681,827173.3495979141,114.190689389,22.383781514
427,992074,837675.714090772,827186.59614419,114.190543899,22.38390115
428,992076,839448.0790094528,826816.7107520606,114.207753598,22.380558517
429,992077,839431.7222607331,826805.2017655168,114.207594748,22.380454615
430,993010,839027.9925433658,826533.9414356574,114.203673983,22.378005689
431,992079,838983.7407805817,826510.2714824863,114.203244257,22.377792008
432,992081,838964.8577007651,826503.6851283181,114.203060891,22.377732559
433,992080,838981.1793568823,826517.1702870969,114.203219397,22.377854312
434,992082,838962.0514834998,826511.3343562558,114.203033655,22.37780164
435,992085,836656.0799162677,825210.9778216053,114.18064232,22.3660608
436,992087,836662.3902286626,825270.5250818431,114.180703603,22.366598543
437,993012,836464.5066558579,825769.5189868547,114.178782367,22.371104761
438,992088,836236.746953425,825639.1953173764,114.176570925,22.36992788
439,992089,836220.8844740735,825627.0439273305,114.176416909,22.369818146
440,993013,835731.7103874106,825360.622812599,114.171667382,22.367412138
441,992091,837337.3621811466,826343.4255173206,114.187257787,22.37628712
442,992092,837348.8254825994,826327.036718715,114.187369084,22.376139113
443,992094,837506.4532467341,825697.3474967834,114.188899143,22.370452576
